"h3","h2","description"
"C11       ","C1        ","STRATEGY/PLANS                                                                                      "
"C12       ","C1        ","LEGAL/JUDICIAL                                                                                      "
"C13       ","C1        ","REGULATION/POLICY                                                                                   "
"C14       ","C1        ","SHARE LISTINGS                                                                                      "
"C15       ","C1        ","PERFORMANCE                                                                                         "
"C16       ","C1        ","INSOLVENCY/LIQUIDITY                                                                                "
"C17       ","C1        ","FUNDING/CAPITAL                                                                                     "
"C18       ","C1        ","OWNERSHIP CHANGES                                                                                   "
"C21       ","C2        ","PRODUCTION/SERVICES                                                                                 "
"C22       ","C2        ","NEW PRODUCTS/SERVICES                                                                               "
"C23       ","C2        ","RESEARCH/DEVELOPMENT                                                                                "
"C24       ","C2        ","CAPACITY/FACILITIES                                                                                 "
"C31       ","C3        ","MARKETS/MARKETING                                                                                   "
"C32       ","C3        ","ADVERTISING/PROMOTION                                                                               "
"C33       ","C3        ","CONTRACTS/ORDERS                                                                                    "
"C34       ","C3        ","MONOPOLIES/COMPETITION                                                                              "
"C41       ","C4        ","MANAGEMENT                                                                                          "
"C42       ","C4        ","LABOUR                                                                                              "
"E11       ","E1        ","ECONOMIC PERFORMANCE                                                                                "
"E12       ","E1        ","MONETARY/ECONOMIC                                                                                   "
"E13       ","E1        ","INFLATION/PRICES                                                                                    "
"E14       ","E1        ","CONSUMER FINANCE                                                                                    "
"E21       ","E2        ","GOVERNMENT FINANCE                                                                                  "
"E31       ","E3        ","OUTPUT/CAPACITY                                                                                     "
"E41       ","E4        ","EMPLOYMENT/LABOUR                                                                                   "
"E51       ","E5        ","TRADE/RESERVES                                                                                      "
"E61       ","E6        ","HOUSING STARTS                                                                                      "
"E71       ","E7        ","LEADING INDICATORS                                                                                  "
"G15       ","G1        ","EUROPEAN COMMUNITY                                                                                  "
"M11       ","M1        ","EQUITY MARKETS                                                                                      "
"M12       ","M1        ","BOND MARKETS                                                                                        "
"M13       ","M1        ","MONEY MARKETS                                                                                       "
"M14       ","M1        ","COMMODITY MARKETS                                                                                   "
