"h4","h3","description"
"C151      ","C15       ","ACCOUNTS/EARNINGS                                                                                   "
"C152      ","C15       ","COMMENT/FORECASTS                                                                                   "
"C171      ","C17       ","SHARE CAPITAL                                                                                       "
"C172      ","C17       ","BONDS/DEBT ISSUES                                                                                   "
"C173      ","C17       ","LOANS/CREDITS                                                                                       "
"C174      ","C17       ","CREDIT RATINGS                                                                                      "
"C181      ","C18       ","MERGERS/ACQUISITIONS                                                                                "
"C182      ","C18       ","ASSET TRANSFERS                                                                                     "
"C183      ","C18       ","PRIVATISATIONS                                                                                      "
"C311      ","C31       ","DOMESTIC MARKETS                                                                                    "
"C312      ","C31       ","EXTERNAL MARKETS                                                                                    "
"C313      ","C31       ","MARKET SHARE                                                                                        "
"C331      ","C33       ","DEFENCE CONTRACTS                                                                                   "
"C411      ","C41       ","MANAGEMENT MOVES                                                                                    "
"E121      ","E12       ","MONEY SUPPLY                                                                                        "
"E131      ","E13       ","CONSUMER PRICES                                                                                     "
"E132      ","E13       ","WHOLESALE PRICES                                                                                    "
"E141      ","E14       ","PERSONAL INCOME                                                                                     "
"E142      ","E14       ","CONSUMER CREDIT                                                                                     "
"E143      ","E14       ","RETAIL SALES                                                                                        "
"E211      ","E21       ","EXPENDITURE/REVENUE                                                                                 "
"E212      ","E21       ","GOVERNMENT BORROWING                                                                                "
"E311      ","E31       ","INDUSTRIAL PRODUCTION                                                                               "
"E312      ","E31       ","CAPACITY UTILIZATION                                                                                "
"E313      ","E31       ","INVENTORIES                                                                                         "
"E411      ","E41       ","UNEMPLOYMENT                                                                                        "
"E511      ","E51       ","BALANCE OF PAYMENTS                                                                                 "
"E512      ","E51       ","MERCHANDISE TRADE                                                                                   "
"E513      ","E51       ","RESERVES                                                                                            "
"G151      ","G15       ","EC INTERNAL MARKET                                                                                  "
"G152      ","G15       ","EC CORPORATE POLICY                                                                                 "
"G153      ","G15       ","EC AGRICULTURE POLICY                                                                               "
"G154      ","G15       ","EC MONETARY/ECONOMIC                                                                                "
"G155      ","G15       ","EC INSTITUTIONS                                                                                     "
"G156      ","G15       ","EC ENVIRONMENT ISSUES                                                                               "
"G157      ","G15       ","EC COMPETITION/SUBSIDY                                                                              "
"G158      ","G15       ","EC EXTERNAL RELATIONS                                                                               "
"G159      ","G15       ","EC GENERAL                                                                                          "
"M131      ","M13       ","INTERBANK MARKETS                                                                                   "
"M132      ","M13       ","FOREX MARKETS                                                                                       "
"M141      ","M14       ","SOFT COMMODITIES                                                                                    "
"M142      ","M14       ","METALS TRADING                                                                                      "
"M143      ","M14       ","ENERGY MARKETS                                                                                      "
